state,dish_name,meal_type,description,preference,primary_nutrient,secondary_nutrient,tertiary_nutrient,quaternary_nutrient
Punjab,Sarson ka Saag with Makki Roti,dinner,"Mustard greens curry with cornmeal flatbread, cooked in ghee",vegetarian,iron,fiber,vitamin_a,healthy_fats
Punjab,Chole,lunch,Spiced chickpea curry in a tomato-onion gravy,vegan,protein,fiber,iron,folate
Punjab,Tandoori Chicken,dinner,Marinated chicken roasted in a clay oven with yogurt and spices,non-vegetarian,protein,iron,zinc,vitamin_b12
Gujarat,Dhokla,breakfast,Steamed fermented gram-flour cake,vegetarian,protein,fiber,carbohydrates,probiotics
Gujarat,Undhiyu,lunch,Mixed winter vegetable curry with fenugreek dumplings,vegan,fiber,vitamin_a,vitamin_c,potassium
Gujarat,Khichdi,dinner,Rice and lentils cooked together with mild spices,vegetarian,protein,carbohydrates,fiber,iron
Kerala,Appam with Vegetable Stew,breakfast,Fermented rice pancake with coconut-milk vegetable stew,vegetarian,carbohydrates,healthy_fats,fiber,vitamin_c
Kerala,Fish Moilee,lunch,Fish simmered in coconut milk with turmeric and curry leaves,non-vegetarian,protein,omega_3,iodine,vitamin_d
Kerala,Puttu with Kadala Curry,breakfast,Steamed rice-flour cylinders with black chickpea curry,vegan,protein,fiber,iron,carbohydrates
West Bengal,Shorshe Ilish,lunch,Hilsa fish cooked in a mustard-seed gravy,non-vegetarian,omega_3,protein,vitamin_d,selenium
West Bengal,Cholar Dal,dinner,Bengal gram lentils cooked with coconut and cumin,vegetarian,protein,fiber,folate,iron
West Bengal,Luchi with Aloo Dum,breakfast,Deep-fried flatbread with spiced potato curry,vegetarian,carbohydrates,healthy_fats,vitamin_c,potassium
Tamil Nadu,Idli with Sambar,breakfast,Steamed fermented rice cakes with lentil-vegetable stew,vegetarian,protein,fiber,carbohydrates,probiotics
Tamil Nadu,Chettinad Chicken,dinner,Spicy chicken curry with roasted spice blend,non-vegetarian,protein,iron,zinc,vitamin_b12
Tamil Nadu,Curd Rice,lunch,Rice mixed with yogurt and tempered mustard seeds,vegetarian,probiotics,calcium,carbohydrates,protein
Maharashtra,Puran Poli,snack,Sweet lentil-stuffed flatbread,vegetarian,protein,carbohydrates,fiber,iron
Maharashtra,Misal Pav,breakfast,Spiced sprouted-lentil curry with bread rolls,vegan,protein,fiber,iron,folate
Maharashtra,Kolhapuri Mutton,dinner,Slow-cooked mutton in a fiery Kolhapuri spice base,non-vegetarian,protein,iron,zinc,vitamin_b12
Rajasthan,Dal Baati Churma,lunch,Baked wheat rolls with lentils and a sweet crumble,vegetarian,protein,carbohydrates,healthy_fats,fiber
Rajasthan,Ker Sangri,dinner,Dried desert beans and berries cooked with spices,vegan,fiber,iron,protein,potassium
Rajasthan,Laal Maas,dinner,Fiery red mutton curry with Mathania chilies,non-vegetarian,protein,iron,zinc,vitamin_b12
Odisha,Dalma,lunch,Lentils cooked with mixed vegetables and panch phoron,vegetarian,protein,fiber,iron,folate
Odisha,Pakhala Bhata,lunch,"Fermented rice soaked in water, served with fried sides",vegetarian,probiotics,carbohydrates,potassium,fiber
Odisha,Macha Besara,dinner,Fish cooked in a mustard-based gravy,non-vegetarian,omega_3,protein,vitamin_d,iodine
Andhra Pradesh,Pesarattu,breakfast,Green-gram lentil crepe,vegan,protein,fiber,iron,folate
Andhra Pradesh,Gongura Mutton,dinner,Mutton curry with tangy sorrel leaves,non-vegetarian,protein,iron,vitamin_c,zinc
